Department,Major,Degree,School,Course Title,Course Description,Cost
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",INTERMEDIATE ALGEBRA,"A study of problem-solving techniques in intermediate-level algebra. The goal is to demonstrate number sense and estimation skills; interpret mathematical ideas using appropriate terminology; manipulate, evaluate, and simplify real-number and algebraic expressions; and translate, solve, and interpret applied problems. Emphasis is on numbers and algebraic properties, graphing skills, and applications drawn from a variety of areas (such as finance, science, and the physical world). Topics include polynomials; factoring; exponents and their notation; rational expressions and equations; rational exponents and radical expressions; linear, quadratic, and other equations; and inequalities.",867.00
Fire/Rescue Services,Other/Misc.,Certificate,ROPES THAT RESCUE LTD.,ROPES THAT RESCUE,Team ropes class.,1250.00
Police,Public Safety,Masters (MA/MS/MPH/etc.),GEORGE WASHINGTON UNIVERSITY,POLITICAL VIOLENCE AND TERRORISM,"The evolution of terrorism and politically motivated violence; causes and origins in regional, national, and international terrorist and insurgent groups and so-called terrorist states; trends in terrorist modus operandi, including asymmetric attacks; formulating effective counterterrorist strategies.",1730.00
Health & Human Services,None,Non-Degree,Starbright Training Institute,POST TRAUMATIC PLAY WHAT CLINICIANS SHOULD KNOW,"Many children are fortunate to be able to  play out  traumatic events in very specific ways. Post-traumatic play allows children to gradually confront their worries and fears in a way that seems developmentally appropriate to them. In this workshop, post-traumatic play will be defined and explored as a natural reparative mechanism that can usually be very useful. At the same time, sometimes traumatized children can get stuck in a repetitive pattern of play that does not achieve its' positive intent, instead, becoming potentially retraumatizing for children. Thus clinicians need to remain attentive to signs that the play is moving in a positive direction. Several interventions will illustrate how to interrupt negative (toxic) post-traumatic play.",0.00
Finance,General Studies,AA,Montgomery College Rockville Campus,ELEMENTS OF STATISTICS,An introductory noncalculus statistics course to serve a variety of students who need a working knowledge of statistics/  curse hours TBA,372.00
Health & Human Services,Nursing,Certificate,Cambridge Nursing Assistant Academy,CERTIFIED NURSING ASSISTANT (CNA),Certified Nursing Assistance course prepare students to be competent practitioner's within the prescribed scope of practice and serve as responsible members of interdisciplinary. health care needs across the life span.,975.00
Police,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),LIBERTY UNIVERSITY,LEAD 610 TEAM LEADERSHIP & CONFLICT RESOLUTION,"REQUIRED COURSE. This course will focus on building and sustaining decision making teams, mentoring, delegating, resolving conflict, and handling & overcoming opposition.",680.00
Police,Job Related,Other,"JOHN E. REID AND ASSOCIATES, INC.",INTERVIEW AND INTERROGATION SEMINAR,Investigative interviewing and interrogation techniques.,795.00
Fire/Rescue Services,Emergency Management,Bachelors (BA/BS),Purdue University,SC200-04: DISCOVERING SCIENCE-CURRENT ISSUES IN A CHANGING WORLD,Sc200-04: Discovering Science- Current Issues in a changing world. Class required for my Bachelors in Emergency management,1345.00
Fire/Rescue Services,Other/Misc.,Certificate,ROPES THAT RESCUE LTD.,ROPES THAT RESCUE,Advanced rescue class integrating multiple technical rescue disciplines in scenario based rescues.,0.00
Police,Public Administration,Bachelors (BA/BS),JOHNS HOPKINS UNIVERSITY,VALUES AND ETHICS,"Leaders have pondered ethical problems since before the days of Ancient Greece. Today, people continue to reflect on challenges to personal and organizational integrity, moral decision-making, and standardizing behavior through a common set of rules. Students discuss parameters set by great leaders and philosophers of the past and challenge many long-standing beliefs that govern modern thinking about ethics and integrity. They explore situations that, while appearing relatively simple, led to the professional demise of leaders and public disrespect for organizations. They draw on their own beliefs and experiences to debate how and why certain decisions are made. Students explore contemporary issues such as abortion, gun control, and political influence.",2070.00
Police,Other/Misc.,Certificate,"GLOCK PROFESSIONAL, INC",GLOCK ARMORER'S COURSE,"Introduction to all aspects of the department issued Glock handgun: Assembly, disassembly, safe action system design, and function of safeties.",250.00
Human Resources,None,Non-Degree,University of Maryland - University College,SOCIOLOGY,"Sociology of the Family | Examination of the family in society. Sociological theories to understand family as a social institution: describe the changing definitions of family; examine demographic changes in marriage, and family patterns.",819.00
Health & Human Services,None,Non-Degree,PESI HEALTHCARE LLC,PSYCOPHARMACOLOGY,"Many professionals like you are intimidated by the risks associated with psychiatric medications. Master the latest information about the benefits and limits of psychopharmacology, and get actionable insights on integrating the latest approaches in medication and talk therapy to immediately apply to your practice.",389.99
Fire/Rescue Services,General Studies,Bachelors (BA/BS),University of Maryland - University College,MANAGEMENT AND ORGANIZATION THEORY,marketing principles,0.00
Health & Human Services,None,Non-Degree,ICA Language Services,SPANISH,"This course is taught using a verity of teaching methods and techniques that will develop oral, listening and reading proficiency. each class features a diverse mixture of activities designed to introduce, review and expand material.",2030.00
Human Resources,None,Non-Degree,University of Maryland - University College,SOCIOLOGY OF GENDER,Sociology of Gender | An inquiry into how gender is socially constructed and reconstructed in contemporary society. the aim is to assess the interaction between gender and other social identities.,192.00
Fire/Rescue Services,Emergency Management,AA,FREDERICK COMMUNITY COLLEGE,FEM 104,"FEM 104-Earthquake Structural Mitigation (1)

Provides students involved in state and local
governments, and the building and financial
industries, with knowledge concerning the
requirements of federal and federally assisted or
regulated new building construction. The course
is also intended to provide the student with basic
knowledge about earthquakes and how buildings
can be built to be safe during an earthquake.",88.00
Police,Computer Science,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",CMIS 102 - INTRODUCTION TO PROBLEM SOLVING AND ALGORITHM DESIGN,"Introduction to Problem Solving and Algorithm Design

CMIS 102 | 3 Credits

A study of techniques for finding solutions to problems through structured programming and step-wise refinement. The objective is to design programs using pseudocode and the C programming language. Hands-on practice in debugging, testing, and documenting is provided. Topics include principles of programming, the logic of constructing a computer program, and the practical aspects of integrating program modules into a cohesive application. Algorithms are used to demonstrate programming as an approach to problem solving. Students may receive credit for only one of the following courses: CMIS 102, CMIS 102A, or CMSC 101.",866.00
Police,Computer Science,Masters (MA/MS/MPH/etc.),HOOD COLLEGE,CYBR 556 ETHICAL HACKING,"The course covers the methods and techniques associated with cybersecurity penetration testing or ethical hacking. Course topics provide a full cycle of activities related to ethical hacking, ranging from planning, reconnaissance and scanning to exploitation, post-exploitation, result reporting and remediation. The focus is for students to explore how system and network vulnerabilities can be discovered and exploited along with techniques on how to remediate them.",357.50
Health & Human Services,Nursing,Masters (MA/MS/MPH/etc.),Regis University,POPULATION HEALTH AND INTERPROFESSIONAL COLLABORATION PRACTICUM,"A didactic and clinical focus on the application of advanced nursing concepts related to the provision of culturally relevant health promotion and clinical prevention interventions, using epidemiologic data, employing collaborative strategies in the design, coordination, and evaluation of population-based, patient-centered care.",70.00
Fire/Rescue Services,Fire Protection Engineering,AA,COLUMBIA SOUTHERN UNIVERSITY,FIRE OFFICER II,"Upon completion of this course, students should be able to:
-Determine basic responsibilities and duties of Company Officer Level II.
-Explain the role of Company Officer II in behavior management and professional development.
-Utilize policy and procedure development, budget preparation, and the purchasing process.
-Describe the role of the Company Officer II in fire origin and cause determination.
-Describe the role of Company Officer II in the delivery of emergency services.
-Explain safety investigations and analysis.",325.00
General Services,Not Listed,Bachelors (BA/BS),University of Maryland - University College,CMIT  369 INSTALLING AND CONFIGURING WONDOWS SERVER,"Designed to help prepare for the Installing and Configuring Windows Server exam, part of MCSE Server Infrastructure Certification.",196.00
Libraries,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),University of Maryland - University College,LEADING ORGANIZATIONS AND PEOPLE,"Prerequisite: PRO 600. Assess and develop your leadership skills by creating a personal leadership and professional development plan that you will refine during the program. Develop a strategic understanding of your organization by analyzing its mission, vision, goals, and values. Evaluate your organization's culture, climate, and approach to decision making and assess leadership effectiveness, governance structure, and processes. Explore how high-performing work teams can be a source of competitive advantage.",965.00
Police,Job Related,Certificate,ACADEMI,ADVANCED COUNTER AMBUSH TACTICS FOR LAW ENFORCEMENT (CUSTOM COURSE),,1935.11
Transportation,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,IFSM 300  (INFORMATION SYSTEMS IN ORGANIZATIONS),Re-Took Classes to get a better grade for Grad School.,867.00
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",STRATEGIC PLANNING IN HOMELAND SECURITY,"An examination of the fundamentals of strategic
planning, necessary for the maintenance of domestic security and the
operation of the homeland security organization in the public and private
sectors. The goal is to develop and analyze homeland security strategic plans.
Topics include organizational priorities, planning documents, policy
development, legislation, financial operations, and the evaluation process.
Analysis covers threat, risk, vulnerability, probability, and impact as
parameters for decision making and resource allocation.",927.00
Police,Law,Masters (MA/MS/MPH/etc.),LIBERTY UNIVERSITY,PROPERTY LAW,"A study of the fundamental precepts applicable to real and personal property. Aspects of real property covered are possessory estates and interests, as well as joint and concurrent ownership. A study of the rights, duties, and liabilities of landlords and tenants; acquisition, ownership, and transfer of property; rights of possession; donative transactions; issues in the conveyancing system; and governmental regulations.",618.75
Correction & Rehabilitation,Criminal Justice,Bachelors (BA/BS),University of Maryland - University College,ISSUES IN CRIMINAL JUSTICE,"The objective is to assess the validity of statistical conclusions; organize, summarize, interpret, and present data using graphical and tabular representations; and apply principles of inferential statistics. Focus is on selecting and applying appropriate statistical tests and determining reasonable inferences and predictions from a set of data. Topics include methods of sampling; percentiles; concepts of probability; probability distributions; normal, t-, and chi-square distributions; confidence intervals; hypothesis testing of one and two means; proportions; binomial experiments; sample size calculations; correlation; regression; and analysis of variance (ANOVA).",750.00
Permitting Services,Environmental Science and Policy (Policy),Masters (MA/MS/MPH/etc.),Southern New Hampshire University,FINANCIAL REPORTING & ANALYSIS,"This course emphasizes the creation and interpretation of financial statements critical to an understanding of today's economy. Various financial topics related to financial statements are covered. Income statements, balance sheets, and cash flow statements are explored in-depth giving students an appreciation of how these statements are prepared and the standard accounting rules that apply to their creation.",1881.00
Transportation,Civil and Environmental Engineering,Bachelors (BA/BS),University of Maryland - College Park,ENGL 393 -TECHNICAL WRITING,"In English 393 (Technical Writing), we will examine the rhetorical strategies used in writing the kinds of documents that are customarily required in the workplace. We will examine issues related to the audience the documents are intended for and to the overall purposes of those documents",1080.00
Health & Human Services,None,Non-Degree,MONTGOMERY COUNTY COMMUNITY COLLEGE,CERTIFIED NURSING ASSISTANT CLINICAL,"This course is only for students who have successfully completed Certified Nursing Assistant Classroom. Under the direction and supervision of an RN Instructor, students are assigned to care for patients using the knowledge and skills learned in the classroom such as taking vital signs, assisting with feeding, giving bed baths, assisting with ambulation, and helping residents with activities of daily living.",845.00
Human Resources,None,Non-Degree,RUTGERS UNIVERSITY - NEWARK - SCHOOL OF PUBLIC AFFAIRS AND ADMINISTRATION,CERTIFICATE IN APPRECIATIVE INQUIRY FOR STRENGTHS-BASED LEADERSHIP AND INNOVATION IN PUBLIC AND NONPROFIT SECTORS,"Appreciative Inquiry Facilitator Training� (AIFT) engages participants to learn about the foundations of Appreciative Inquiry as well as the skills to facilitate inquiry sessions. At the end of this intensive Appreciative Inquiry Facilitator Training (AIFT), participants will understand how to guide organizations, groups, and communities to consciously and deliberately shift their collective way of being and seeing to an appreciative approach, that will help them focus on what's right in their organization, group or community, rather than on what's wrong.",1455.00
Health & Human Services,None,Non-Degree,Psychwire,ACT FOR ADOLESCENTS,This advanced level 6 week specialty course specifically focuses on adapting core ACT processes to help adolescents (ages 10-17) stop struggling and start thriving.,545.00
Legislative Oversight,Business/Admin./Mgmt.,Bachelors (BA/BS),WALDEN UNIVERSITY,BUSINESS LAW,"Responsible business leaders and decision makers must conduct transactions and operations according to clearly defined rules, laws, and processes to ensure stability and protection for their company. Students in this course examine the legal issues faced by managers, fundamental legal principles, and common issues in the field, such as workplace law, contract disputes, and intellectual property guidelines. Students engage in discussions and application assignments focused on the responsibilities of business professionals, such as understanding the fundamental legal principles in business and commerce; analyzing business contracts; adhering to legal issues in interviewing, hiring, and firing; developing, using, and defending intellectual property; and understanding the regulatory contex",965.00
Health & Human Services,Nursing,Bachelors (BA/BS),GRAND CANYON UNIVERSITY,NURSING,RN to BSN bridge,1930.00
Fire/Rescue Services,Fire Science,AA,COLUMBIA SOUTHERN UNIVERSITY,AMERICAN MILITARY HISTORY,History pertaining to American military,675.00
Permitting Services,"Logistics, Transportation and Supply Chain Management (Business)",Masters (MA/MS/MPH/etc.),University of Maryland - University College,INTERCULTURAL COMMUNICATION AND LEADERSHIP,"A study of organizational communication, leadership, and decision-making skills essential for all managers in intercultural environments. Theories of culture are examined and applied in relation to leadership style and practices as well as to organizational communication across cultural groups. Team development and leadership are explored in an intercultural environment.",1374.00
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",CCJS 380 - ETHICAL BEHAVIOR IN CRIMINAL JUSTICE,CCJS 380 Ethics in Criminal Justice,306.00
Fire/Rescue Services,Finance (Business),AA,Montgomery College Rockville Campus,ENGLISH 102,,384.00
Health & Human Services,Business/Admin./Mgmt.,Masters (MA/MS/MPH/etc.),University of Maryland - University College,MBA 630: LEADING IN THE MULTICULTURAL GLOBAL ENVIRONMENT,"Enhance your cultural competence and evaluate opportunities and risks for operations in a global market. Expand your ability to apply ethical decision-making models. Assess issues of culture, business ethics, employment law, contracts, and criminal law in the context of a global business. Analyze political, legal, economic, and cultural forces that impact multinational businesses. Recommend the legal form and organizational structure of a business.",2030.00
Fire/Rescue Services,Fire Science,AA,COLUMBIA SOUTHERN UNIVERSITY,MAT 1301,Math requirement,675.00
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",COLLEGE ALEGEBRA,"An introduction to equations and inequalities and a study of functions and their properties, including the development of graphing skills with polynomial, rational, exponential, and logarithmic functions. The objective is to apply appropriate technology and demonstrate fluency in the language of algebra; communicate mathematical ideas; perform operations on real numbers, complex numbers, and functions; solve equations and inequalities; analyze and graph circles and functions; and use mathematical modeling to translate, solve, and interpret applied problems. Technology is used for data modeling. Discussion also covers applications.",882.00
Fire/Rescue Services,Fire Science,Bachelors (BA/BS),COLUMBIA SOUTHERN UNIVERSITY,ABNORMAL PSYCHOLOGY,Required Elective,0.00
Fire/Rescue Services,Finance (Business),AA,Montgomery College Rockville Campus,METEROLOGY: INTRO WEATHER,,512.00
Police,Emergency Management,Masters (MA/MS/MPH/etc.),AMERICAN PUBLIC UNIVERSITY,ECONOMICS OF DIASTER,"This course is a study of the economics associated with international, national, state, or local level disaster. Students will study, analyze, and conduct research on the direct and indirect economic losses associated with disaster. The course will cover the economics associated with both public and private institutions.",1047.50
Human Resources,None,Non-Degree,University of Maryland - University College,SOCY325: THE SOCIOLOGY OF GENDER: STUDY OF GENDER INEQUALITY AND CULTURE IN CONTENPORARY AMERICA,"Global Conflict, Migrants and refugees | Exploration og global conflict and migration. Analyze data and historical evidence and assess the role of globalization on migration",819.00
Health & Human Services,General Studies,AA,MONTGOMERY COUNTY COMMUNITY COLLEGE,HIST 228 - WOMEN IN WESTERN WORLD,"Surveys the realities and myths of woman's role from the ancient world to modern American and European industrial society. It examines the position of women in the cultures and social structures at various stages in the development of Western history, explores the emergence and growth of the women's rights movement, and the modes of continuity and change when new opportunities emerge for women.",372.00
Health & Human Services,Psychology,Certificate,Chicago School of Professional Psychology,RESEARCH METHODS - AB551,"This course teaches how to conduct an experiment in applied behavior analysis that is methodologically and logically sound, socially valid, ethical, and legal. It covers major experimental designs used in behavior analysis, interpretation and evaluation of data, and limitations of behavioral and non-behavioral research. Objectives includes analyzing behavior, designing interventions, and evaluating interventions by applying basic behavioral principles and assessment techniques to effect socially significant behavior change which can help individuals from various populations, cultures, and age groups who have disabilities, dementia, behavior issues, cognitive issues, emotional and social skills issues.",2030.00
Fire/Rescue Services,Fire Science,AA,PRINCE GEORGE'S COMMUNITY COLLEGE,FIRE SERVICE ADMINISTRATION,for continued course work at UMUC after graduation fro PGCC this FY. unknown courses at this time,490.00
Health & Human Services,General Studies,AA,MONTGOMERY COUNTY COMMUNITY COLLEGE,ART HISTORY,"A survey and analysis of major trends in architecture, painting, and sculpture in Western civilization, including Proto-Renaissance, Renaissance, Mannerist, Baroque, Neoclassic, Romantic, Realist, Impressionist, Expressionist, Cubist, non-objective, and 20th century art.",372.00
Police,Criminal Justice,Other,UNIVERSITY OF PHOENIX,CJS 211- ETHICS IN CRIMINAL JUSTICE,"This course explores the standards and codes of professional responsibility in criminal justice professions. It also explores ethical dilemmas, professional organizations and agencies, ethics and community relations, ethics in criminal justice laws, and procedures and civil responsibility in law enforcement and correctional environments.",961.50
Fire/Rescue Services,Emergency Management,AA,FREDERICK COMMUNITY COLLEGE,FEM 115,"FEM 115-Introduction to Radiological
Emergency Management
Provides students with the background and practical
knowledge necessary to understand the fundamental
concepts of radioactivity, the types of radiological
emergencies, and the potential effects of these
incidents upon the emergency responder as well as
the general public. Included are the measures that
need to be enacted to ensure safety for all affected.",88.00
Investment Trustees,Other/Misc.,Other,Institutional Limited Partners Association (ILPA),ILPA MEMBER'S CONFERENCE WORKSHOPS,Private Equity,499.00
Fire/Rescue Services,Public Administration,Masters (MA/MS/MPH/etc.),AMERICAN MILITARY UNIVERSITY,ETHICS IN GOVERNMENT,"This course addresses the moral versus legal aspects of public administration. Ethical controversies and real and hypothetical solutions to the issues will be addressed through the components of individual attributes, organizational structure, organizational culture and societal expectations. The administrator's role in ethical decision-making will be examined along with external and internal controls. The course will offer studies in leading and building organizations of integrity and diversity.",1175.00
Human Resources,Human Resources,Bachelors (BA/BS),University of Maryland - University College,ACCOUTING FOR NONACCOUNTING MANAGERS,Survey of accounting principles relevant to making business decisions on the basis of financial information.,837.00
Technology Services,Human Resources,Bachelors (BA/BS),University of Maryland - University College,EMPLOYMENT LAW FOR BUSINESS,"A conceptual and functional analysis of the legal framework of employment relations. The aim is to understand employment law; comply with laws and regulations; and evaluate rights, obligations, and liabilities in the employment process, from hiring and staffing to compensation and layoff. Topics include discrimination based on race, national origin, religion, sex, affinity and sexual orientation, age, and disability; the hiring process, testing, and performance appraisal; employee privacy; wrongful discharge; employee benefits; health and safety; independent contractors; and labor unions.",882.00
Police,Other/Misc.,Certificate,Triton Training Group,REMINGTON 870 SHOTGUN ARMORER'S COURSE,"Remington 870 Shotgun. Each class will provide an in-depth education on the 
platform to include detailed disassembly, trouble shooting, cleaning and maintenance and inspection.",400.00
Investment Trustees,None,Non-Degree,Institutional Limited Partners Association (ILPA),ILPA MEMBER'S CONFERENCE WORKSHOPS,This course helps investors gain a deeper understanding of limited partnership agreements and other documents that govern private equity partnerships.,499.00
Police,Information Technology,Masters (MA/MS/MPH/etc.),HOOD COLLEGE,IT 530 APPLIED DATABASE SYSTEMS,"Overview of data management concepts. The course will explore the enterprise perspective of managing data needs of an organization. Topics include data integrity, database models, and integration of databases, security, and database administration issues. The student will be introduced to query processing within a database environment.",630.00
Human Rights,None,Non-Degree,THE CENTER FOR ALTERNATIVE DISPUTE RESOLUTION,DEMYSTIFYING RACE AND HEALING PROCESS,Race Demystified & The Healing Process(I could not get this course written about under course for some reason),565.00
Health & Human Services,Social Work,Masters (MA/MS/MPH/etc.),Washington Adventist University,FIELD EXPERIENCE,"This course introduces students to the counseling field by the selection of a relevant site placement in consultation with the
classroom instructor. In class activities will include group discussions and collaboration on various topics relating to the
counseling field. Each student will also discuss the types of cases encountered at your Field Experience job site to fellow
students in the class. Confidentiality of all cases must be maintained when presenting to the class. When presenting, or in group
discussion, we will speak in generalities and you will not be giving any personal information about any clients, patients,
consumers that you counseled with.",430.00
Consumer Protection,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,BUS 402,Basic principles of operating and managing a small business.,1900.00
Police,None,Non-Degree,NIGP: The Institute for Public Procurement,DEVELOPING AND MANAGING REQUESTS FOR PROPOSALS,"Continued education in selecting the best solicitation process for a given procurement. Describe the RFP planning and development process, the evaluation team roles and responsibilities and identify and describe the different types of evaluation methodologies and their associated application. Review the proposal handling processes, conducting negotiation, describe how to customize terms and conditions in a contract to meet the needs of the procurement.",690.00
Police,Job Related,Certificate,ACADEMI,ADVANCED COUNTER AMBUSH TACTICS FOR LAW ENFORCEMENT,,1730.00
Correction & Rehabilitation,Business/Admin./Mgmt.,Bachelors (BA/BS),STRAYER UNIVERSITY,"EN 101, TECH OF READING & WRITING",Writing and grammar usage,0.00
Police,Criminal Justice,Bachelors (BA/BS),LIBERTY UNIVERSITY,CJUS 310: JUVENILE JUSTICE,"This course is designed to provide an in-depth study of the juvenile justice system in the United States. The student will study the general principles of juvenile delinquency, overview of the juvenile criminal justice system, theories of delinquency, and other issues dealing with juveniles in the justice system.",562.50
Health & Human Services,Early Childhood Education,Bachelors (BA/BS),ASHFORD UNIVERSITY,EARLY CHILDHOOD EDUCATION,I am taking theses classes toward my BS degree in early childhood Education,965.00
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",FINC 321 - FUNDAMENTALS OF BUILDING WEALTH,"Elective course required for degree - A practical overview of personal finance management and wealth creation that blends financial theory and application. The goal is to develop personal financial management skills (e.g., budgeting income and expenditures and planning for financial security and retirement) and understand elements of the U.S. financial structure (including savings and investment alternatives, financing and credit sources, and the role of insurance in protecting income and assets). These skills are utilized in the development of a personal financial plan.",216.00
Transportation,Information Technology,AA,Montgomery College Rockville Campus,ARTS - PHYSICS 110,"Selected topics in sound and hearing; traditional and electronic music; light and vision; lasers and holography; color theory; photography; recording and reproduction of sound and light; the broadcast media. Frequent demonstrations, occasional field trips, and guest lecturers. Laboratory work consists of further exploration of lecture-related topics by individuals or small groups",372.00
Investment Trustees,None,Non-Degree,GOVERNMENT FINANCE OFFICERS ASSOCIATION,GFOA 112TH ANNUAL CONFERENCE,GASB Guidance and Updates and professional development event,0.00
Police,Information Technology,Masters (MA/MS/MPH/etc.),HOOD COLLEGE,IT 518 SYSTEMS ENGINEERING AND INTEGRATION,"Review of procedures, tools and standards in systems engineering and integration. This course provides a detailed examination of the systematic application of proven procedures, tools and standards to information-oriented problems for the purpose of defining, designing, managing and implementing effective information technology solutions.",1500.00
Fire/Rescue Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,PSYC  100 - INTRODUCTION TO PSYCHOLOGY,"Instruction and practice in academic research skills. The objective is to critically analyze scholarly sources and effectively integrate source material into a complex argument. Assignments include prewriting exercises, a critique, a critical annotated bibliography, a literature review, and a statement of proposed research",852.00
Fire/Rescue Services,Other/Misc.,Certificate,ROPES THAT RESCUE LTD.,PERSONAL SKILLS RESCUE WORKSHOP,"This course goes into depth on rope rescue based personal skills such as rappelling, ascending, anchoring, high directional use, etc.",1250.00
Fire/Rescue Services,Business/Admin./Mgmt.,Bachelors (BA/BS),University of Maryland - University College,INTRODUCTION TO RESEARCH,"An introduction to the research process and methods for retrieving information in a library or through online sources. The aim is to identify an information need and locate, evaluate, and use appropriate resources in keeping with academic integrity and ethical standards. Focus is on implementing effective strategies for finding relevant information--including selecting appropriate print and electronic sources and effectively using web search engines and UMUC Information and Library Services' electronic resources to find information--and evaluating and correctly citing the information found",126.00
Liquor Control,Human Resources,Bachelors (BA/BS),University of Maryland - University College,SOCIOLOGY 300 AMERICAN SOCIETY,"Prerequisite: SOCY 100. An intermediate-level survey of the structure and organization of American society, with special reference to recent social changes. The aim is to describe trends and patterns of social change in American society; compare American and global perspectives of American social values; and apply sociological theories to examine the character, structure, values, and ideology of contemporary American social thought. Topics include individualism, community commitment, and improving tolerance and equity in American society.",580.00
Fire/Rescue Services,None,Non-Degree,Frederick Community College,PC OPERATING SYSTEMS,,572.58
Legislative Oversight,Business/Admin./Mgmt.,Bachelors (BA/BS),WALDEN UNIVERSITY,ENVIRONMENTAL SCIENCE,"Race and Ethnic Relations: American and Global Perspectives tackles diversity issues from both the American and global perspective, offering an in-depth exploration of today's globally diverse world. The text's expansive coverage of race and ethnic relations across the globe highlights major points of difference and similarity between the United States and a number of other societies, as well as includes a unique case study comparing four different countries.",1015.00
Fire/Rescue Services,None,Non-Degree,ROPES THAT RESCUE LTD.,RTR PERSONAL SKILLS,Ropes skills and training to enhance proficiency with MCFRS Technical Rescue Team,1250.00
Police,Public Administration,Bachelors (BA/BS),JOHNS HOPKINS UNIVERSITY,THEORIES OF PERSONALITY,"Knowing how people mature, draw conclusions, and motivate themselves can be invaluable to leaders. In recent years, contemporary personality psychology has advanced the practical tools available to assist in managing groups, solving problems, and achieving goals. Students interpret individual and group action in certain situations by focusing on four conceptual frameworks: (1) motivation (goals, intentions, defense mechanisms); (2) cognition (self-concept, beliefs, values, attitudes, opinions); (3) traits and temperament (biological predispositions, introversion, extraversion, energy level, character); and (4) social context (culture, class, gender, ethnicity). Case studies and examples from students' organizations are used throughout the course.",60.00
Police,Criminology and Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",COMM 390 WRITING FOR MANAGERS,A practicum in the kinds of communication skills that managers need for the workplace. The goal is to develop persuasive managerial communication for organizational decision making and action,912.00
Finance,General Studies,AA,Montgomery College Rockville Campus,LATINAMERICAN HISTORY,"A brief historical survey from Cortes to Castro: Latin America's triple origin in Iberia, Africa, and Indian civilization; the conquest and three centuries of colonial /class hours TBA",372.00
Management & Budget,Finance (Business),Masters (MA/MS/MPH/etc.),JOHNS HOPKINS UNIVERSITY,FINANCIAL MODELING AND VALUATION,"The objective of this course is to introduce students to the current practices in financial modeling and valuation using Excel. Students will learn how to manipulate financial data and how to perform financial analyses using various analytical tools. Using the skills, students will learn how to forecast financial statements and build interactive valuation models for firms. By the end of the course, students will complete an equity research paper. One important aspect of this course is also to introduce students to portfolio modeling, efficient frontiers, and portfolio choice subject to constraints.",2030.00
Human Resources,Human Resources,Bachelors (BA/BS),University of Maryland - University College,CONTEMPORARY ISSUES,Capstone HR Course,696.00
Investment Trustees,None,Non-Degree,GOVERNMENT FINANCE OFFICERS ASSOCIATION,AICPA CPEXPRESS,Specific guidance and updates on Government area that is part of my current work,457.00
Police,Job Related,Certificate,ACADEMI,ADVANCED COUNTER AMBUSH TACTICS FOR LAW ENFORCEMENT,"The Advanced Counter Ambush course is intended for law enforcement officers who have already mastered basic counter ambush fundamentals. This 5-day intensive survival course engages law-enforcement officers in realistic ambush scenarios designed to enhance the decision-making and physical skills required during unforeseen violent encounters. Each scenario is a replication of a real life-threatening incident encountered in the line of duty. The course focuses on counter ambush tactics for law enforcement officers through the fundamentals of shooting, tactical pistol and carbine/patrol rifle skills and aims to teach student how to prepare for, survive and succeed in lethal encounters. ACADEMI's Advanced Counter Ambush course will give law enforcement officers the tools needed to take their skills to the next level",1730.00
Transportation,Information Technology,AA,Montgomery College Rockville Campus,COMPUTERS USE AND MANAGEMENT / EXCEL III,"Provides study in the creation, design, and use of spreadsheets for business applications. Emphasis focuses on formatting and enhancing spreadsheets, maintaining workbooks, working with lists, using appropriate functions, interpreting data, and template design",430.00
Transportation,Business/Admin./Mgmt.,AA,MONTGOMERY COUNTY COMMUNITY COLLEGE,ACCOUNTING 222,"The study and analysis of managerial accounting. Topics include cost accumulation, evaluation, and analysis for decision making, as well as coverage of the statement of cash flows and financial statement analysis.",550.00
Police,History,Masters (MA/MS/MPH/etc.),AMERICAN MILITARY UNIVERSITY,STUDIES IN MILITARY HISTORY,"This course examines the military heritage of the United States from the colonial period to the present time. Through an in-depth study of the extensive literature in American military history, students assess the key individuals, military policies, postures, organizations, strategies, campaigns, tactics, and battles that define the American military experience.",487.50
Fire/Rescue Services,None,Non-Degree,Frederick Community College,OBJET DESIGN AND PROGRAMMING,,572.58
Correction & Rehabilitation,Criminal Justice,Bachelors (BA/BS),University of Maryland - University College,HISTORY OF THE U.S SINCE 1865,"A survey of economic, intellectual, political, and social developments since the Civil War. The objective is to use primary and secondary sources to describe U.S. historical events and interpret current events and ideas in a historical context. Discussion covers the rise of industry and the emergence of the United States as a world power",750.00
